Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
43009,436158,441823,2,20-Jan-09,848,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,40,Car
43009,436158,441823,2,20-Jan-09,848,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,28,Car
43109,434843,436328,1,17-Jan-09,1742,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,68,Bus or coach (17 or more passenger seats)
43809,428923,429880,1,19-Jan-09,1715,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,61,Car
44009,427202,432544,1,21-Jan-09,1030,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats)
44909,423734,434325,3,19-Jan-09,750,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,53,Car
44909,423734,434325,3,19-Jan-09,750,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Serious,Male,23,Motorcycle over 50cc and up to 125cc
45409,425537,432762,2,19-Jan-09,1820,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,58,Car
45409,425537,432762,2,19-Jan-09,1820,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,27,Car
45409,425537,432762,2,19-Jan-09,1820,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,21,Car
45409,425537,432762,2,19-Jan-09,1820,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,25,Car
45509,419963,446150,2,19-Jan-09,1500,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,43,Car
45609,420113,434034,2,20-Jan-09,815,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car
45909,431003,430540,1,21-Jan-09,100,Motorway,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,35,Goods vehicle 3.5 tonnes mgw and under
46809,427551,431985,2,20-Jan-09,800,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Pedal cycle
47109,432711,434493,1,17-Jan-09,1645,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,21,Car
47309,429273,430090,2,10-Jan-09,1122,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,48,Car
47409,427079,434817,1,22-Jan-09,615,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,52,Car
47909,429932,437557,3,19-Jan-09,1848,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,59,Car
50009,423424,437621,1,21-Jan-09,1820,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Serious,Male,20,Car
50509,421990,433001,1,20-Jan-09,630,B,Frost / Ice,Darkness: street lights present and lit,Other,Driver,Slight,Male,34,Bus or coach (17 or more passenger seats)
50809,428956,435471,2,19-Jan-09,750,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,23,Car
50809,428956,435471,2,19-Jan-09,750,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,23,Bus or coach (17 or more passenger seats)
52709,440893,448715,2,22-Jan-09,1714,B,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Female,67,Car
52709,440893,448715,2,22-Jan-09,1714,B,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Female,64,Car
53109,434696,434563,2,23-Jan-09,800,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,47,Car
53409,431630,434445,1,24-Jan-09,1148,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,86,Bus or coach (17 or more passenger seats)
54309,424019,438460,2,23-Jan-09,730,Unclassified,Wet / Damp,Darkness: street lighting unknown,Unknown,Driver,Slight,Male,44,Pedal cycle
56609,428458,432960,1,26-Jan-09,1600,B,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats)
57109,422663,432681,2,24-Jan-09,1715,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,42,Car
57909,433428,433952,1,23-Jan-09,1600,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,5,Car
58109,439119,432454,2,21-Jan-09,715,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,43,Motorcycle over 500cc
58209,430637,434720,2,22-Jan-09,2000,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Driver,Slight,Male,29,Car
58509,428508,442351,1,23-Jan-09,2230,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,18,Car
58709,434063,435140,2,23-Jan-09,722,Unclassified,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,50,Car
59109,429806,433383,1,18-Jan-09,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,30,Car
59409,441925,430291,2,21-Jan-09,1855,Unclassified,Wet / Damp,Darkness: street lighting unknown,Other,Driver,Slight,Female,33,Car
59709,428207,426829,1,24-Jan-09,800,A,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car
61409,428824,435224,2,22-Jan-09,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
64709,432000,430452,2,23-Jan-09,1330,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,52,Car
64709,432000,430452,2,23-Jan-09,1330,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Goods vehicle 7.5 tonnes mgw and over
66109,429950,428086,1,19-Jan-09,1029,Unclassified,Wet / Damp,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,65,Bus or coach (17 or more passenger seats)
66209,431508,435120,2,03-Jan-09,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,18,Car
66209,431508,435120,2,03-Jan-09,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,47,Car
66209,431508,435120,2,03-Jan-09,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,11,Car
66209,431508,435120,2,03-Jan-09,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,15,Car
66209,431508,435120,2,03-Jan-09,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,42,Car
66909,425125,432463,1,27-Jan-09,830,Unclassified,Wet / Damp,Daylight: street lights present,Unknown,Driver,Slight,Male,42,Motorcycle over 50cc and up to 125cc
67609,426354,428164,2,23-Jan-09,1325,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Pedal cycle
67809,429675,432925,3,23-Jan-09,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car
67809,429675,432925,3,23-Jan-09,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car
67809,429675,432925,3,23-Jan-09,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,43,Car
67809,429675,432925,3,23-Jan-09,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Car
67809,429675,432925,3,23-Jan-09,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car
68809,431076,431126,1,27-Jan-09,925,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Bus or coach (17 or more passenger seats)
